timestamp,neartime,r_x,r_y,r_z,x,y
1573094126.5152,1573094126.522134,70.86699676513672,-32.16608428955078,62.26234436035156,582.0,113.0
1573094126.615423,1573094126.583093,72.08551025390625,-32.487457275390625,62.101585388183594,582.0,113.0
1573094126.71647,1573094126.720192,71.1746597290039,-32.552066802978516,62.06010437011719,582.0,113.0
1573094126.768717,1573094126.791353,71.61688232421875,-32.82696533203125,62.683773040771484,582.0,114.0
1573094126.900218,1573094126.918879,71.33890533447266,-32.86209487915039,62.10599899291992,582.0,115.0
1573094126.977982,1573094126.982846,70.91659545898438,-33.12149429321289,62.43061828613281,583.0,113.0
1573094127.113044,1573094127.118664,70.33511352539062,-33.38901901245117,62.21291732788086,584.0,112.0
1573094127.166215,1573094127.182378,71.05119323730469,-33.34931182861328,62.527427673339844,585.0,109.0
1573094127.322074,1573094127.341122,69.54340362548828,-33.311676025390625,62.234127044677734,583.0,116.0
1573094127.379442,1573094127.382446,71.24620819091797,-33.34182357788086,63.13047409057617,580.0,102.0
1573094127.520733,1573094127.539552,69.73633575439453,-32.40658187866211,62.045597076416016,574.0,96.0
1573094127.579974,1573094127.588389,71.6964340209961,-32.34828567504883,63.202980041503906,571.0,101.0
1573094127.737732,1573094127.718462,73.08511352539062,-29.743478775024414,62.964271545410156,568.0,89.0
1573094127.7787619,1573094127.788415,74.61126708984375,-28.982967376708984,62.964271545410156,566.0,83.0
1573094127.9144812,1573094127.915143,76.08690643310547,-25.978084564208984,62.287174224853516,562.0,66.0
1573094128.0155132,1573094127.994836,79.82977294921875,-24.190671920776367,61.64447021484375,560.0,62.0
1573094128.210848,1573094128.18559,83.4244384765625,-19.900327682495117,62.166603088378906,555.0,50.0
1573094128.300756,1573094128.321091,83.08619689941406,-17.928836822509766,62.43198776245117,554.0,46.0
1573094128.382437,1573094128.382791,84.83010864257812,-17.08432960510254,62.66975021362305,554.0,45.0
1573094128.511188,1573094128.534893,83.94490051269531,-16.118762969970703,62.07428741455078,552.0,46.0
1573094128.5661619,1573094128.589321,85.56636810302734,-16.093734741210938,63.20783996582031,552.0,44.0
1573094128.711191,1573094128.727436,84.72323608398438,-15.613862991333008,62.60713195800781,553.0,44.0
1573094128.8149118,1573094128.780803,85.14762878417969,-15.49661922454834,62.09165954589844,552.0,42.0
1573094128.90401,1573094128.923599,84.70748901367188,-14.83643913269043,62.768489837646484,552.0,45.0
1573094128.979624,1573094128.983031,85.92969512939453,-15.51030158996582,63.21472930908203,553.0,45.0
1573094129.109193,1573094129.119591,84.9766616821289,-14.538681030273438,62.33032989501953,551.0,44.0
1573094129.21143,1573094129.194685,86.15813446044922,-15.213885307312012,62.33804702758789,553.0,45.0
1573094129.3786712,1573094129.382921,86.13692474365234,-15.961334228515625,63.12122344970703,558.0,49.0
1573094129.5078778,1573094129.528872,84.31367492675781,-16.41558265686035,62.50934600830078,557.0,53.0
1573094129.577773,1573094129.58759,85.08142852783203,-16.483875274658203,62.93059539794922,558.0,55.0
1573094129.7144141,1573094129.721409,82.15763854980469,-17.89218521118164,62.258628845214844,563.0,65.0
1573094129.81729,1573094129.849288,79.93223571777344,-20.8653507232666,62.91194152832031,567.0,69.0
1573094129.928278,1573094129.914321,80.25741577148438,-21.08909797668457,63.11439514160156,571.0,77.0
1573094129.979106,1573094129.982643,80.22050476074219,-23.05465316772461,63.11439514160156,571.0,80.0
1573094130.12399,1573094130.12703,77.41566467285156,-26.197818756103516,62.33620071411133,577.0,85.0
1573094130.18166,1573094130.184063,77.37055206298828,-26.5017032623291,63.026283264160156,578.0,88.0
1573094130.310704,1573094130.318284,75.09031677246094,-28.351091384887695,62.21842956542969,581.0,90.0
1573094130.383225,1573094130.39337,76.43781280517578,-28.49166488647461,63.310420989990234,583.0,91.0
1573094130.497501,1573094130.519375,75.54849243164062,-29.86765480041504,62.59033203125,586.0,94.0
1573094130.5763881,1573094130.586114,76.37393951416016,-30.19884490966797,63.309478759765625,587.0,95.0
1573094130.70911,1573094130.714836,74.85020446777344,-30.424264907836914,62.9671630859375,590.0,95.0
1573094130.765657,1573094130.780741,76.76131439208984,-30.901084899902344,64.11502075195312,590.0,94.0
1573094130.918941,1573094130.927926,75.6483383178711,-30.992450714111328,62.638702392578125,592.0,94.0
1573094130.9810631,1573094130.99726,79.55345916748047,-31.102214813232422,63.96232223510742,593.0,95.0
1573094131.109307,1573094131.1199,77.89034271240234,-31.026357650756836,62.88945007324219,592.0,97.0
1573094131.220551,1573094131.249464,78.94532775878906,-31.207637786865234,62.564239501953125,592.0,98.0
1573094131.298221,1573094131.332387,78.31666564941406,-30.855663299560547,62.440574645996094,592.0,100.0
1573094131.512244,1573094131.521948,78.49104309082031,-31.208175659179688,62.41346740722656,594.0,106.0
1573094131.613558,1573094131.584072,77.90653991699219,-31.81648063659668,62.39007568359375,591.0,114.0
1573094131.7068439,1573094131.717373,74.49897766113281,-32.924156188964844,63.010292053222656,595.0,119.0
1573094131.811609,1573094131.785476,75.02909088134766,-34.03548049926758,62.242897033691406,595.0,127.0
1573094131.89904,1573094131.927065,71.50012969970703,-35.62525939941406,62.645198822021484,596.0,134.0
1573094131.977674,1573094131.985463,70.75904846191406,-36.449317932128906,62.99293899536133,596.0,135.0
1573094132.1175141,1573094132.117165,67.72566986083984,-38.23444366455078,62.494049072265625,594.0,144.0
1573094132.2190778,1573094132.247681,65.20570373535156,-39.46353530883789,62.05004119873047,595.0,141.0
1573094132.299452,1573094132.316841,65.23906707763672,-39.05412673950195,62.13827896118164,592.0,147.0
1573094132.376674,1573094132.389081,65.37861633300781,-39.98030090332031,62.74202346801758,592.0,150.0
1573094132.50914,1573094132.519669,63.80950927734375,-39.96440505981445,62.420318603515625,589.0,156.0
1573094132.616601,1573094132.597139,63.86052322387695,-40.703983306884766,61.81892395019531,591.0,154.0
1573094132.708965,1573094132.722638,61.55821990966797,-40.604400634765625,61.72861099243164,589.0,158.0
1573094132.772272,1573094132.792543,62.848453521728516,-41.34095764160156,62.746429443359375,589.0,158.0
